household_ID,dog_total,campaign_type,Strategy,ward,village,sub_village,dog_vacc_status,dogs_yes_vacc,dogs_no_vacc,vacc_card_status,number_dogs_seen,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,RegionName.y,district
RCT0903,2,pulse,0,10,36,89,no_vacc,NA,2,,2,0,NA,,NA,Mara,2
RCT0902,1,pulse,0,10,36,89,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,2
RCT0901,3,pulse,0,10,36,89,yes_vacc,2,1,yes_card,3,2,NA,no,2,Mara,2
RCT0270,2,continuous,1,6,16,38,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0269,1,continuous,1,6,16,38,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0268,1,continuous,1,6,16,38,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0267,1,continuous,1,6,16,38,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0266,1,continuous,1,6,16,38,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0265,2,continuous,1,6,16,38,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0264,1,continuous,1,6,16,38,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0263,3,continuous,1,6,16,38,yes_vacc,2,1,yes_card,2,2,NA,no,2,Mara,0
RCT0262,1,continuous,1,6,16,38,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0261,1,continuous,1,6,16,38,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0260,1,continuous,1,6,16,80,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0259,2,continuous,1,6,16,80,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0258,1,continuous,1,6,16,80,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0257,1,continuous,1,6,16,80,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0256,2,continuous,1,6,16,80,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0255,3,continuous,1,6,16,80,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,0
RCT0254,6,continuous,1,6,16,80,yes_vacc,6,0,yes_card,6,6,NA,no,6,Mara,0
RCT0253,3,continuous,1,6,16,80,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,0
RCT0252,1,continuous,1,6,16,80,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0251,2,continuous,1,6,16,80,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0250,9,continuous,1,6,16,72,yes_vacc,2,7,yes_card,2,2,NA,no,2,Mara,0
RCT0249,1,continuous,1,6,16,72,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0248,3,continuous,1,6,16,72,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,0
